All New York ZIP Codes,,,,
Rank,ZIP Code,County,State,Overall Score
1,11201,Kings,New York,69.7
2,11211,Kings,New York,66
3,11217,Kings,New York,63.3
4,14222,Erie,New York,62.9
5,11101,Queens,New York,62.4
6,10019,New York,New York,61.9
7,13039,Onondaga,New York,61.6
8,11238,Kings,New York,61.2
9,10003,New York,New York,61.1
10,11710,Nassau,New York,60.9
11,10014,New York,New York,60.8
12,11249,Kings,New York,60.7
13,11218,Kings,New York,60.6
14,11731,Suffolk,New York,60.4
15,11946,Suffolk,New York,60.4
16,11232,Kings,New York,60.3
17,14618,Monroe,New York,60.3
18,10001,New York,New York,60
19,10010,New York,New York,60
20,11215,Kings,New York,59.4
21,11205,Kings,New York,59.4
22,11231,Kings,New York,59.4
23,11222,Kings,New York,59.1
24,11787,Suffolk,New York,59.1
25,11102,Queens,New York,58.9
26,10013,New York,New York,58.7
27,11366,Queens,New York,58.4
28,10038,Kings,New York,58.4
29,11729,Suffolk,New York,58.3
30,11730,Suffolk,New York,58.2
31,11561,Nassau,New York,58
32,11767,Suffolk,New York,58
33,10960,Rockland,New York,57.7
34,11581,Nassau,New York,57.5
35,10970,Rockland,New York,57.4
36,11949,Suffolk,New York,57.4
37,10956,Rockland,New York,57.3
38,11590,Nassau,New York,57.2
39,11220,Kings,New York,57.1
40,11772,Suffolk,New York,57.1
41,11361,Queens,New York,57
42,11725,Suffolk,New York,56.7
43,11746,Suffolk,New York,56.7
44,11757,Suffolk,New York,56.6
45,11552,Nassau,New York,56.5
46,11372,Queens,New York,56.4
47,12561,Ulster,New York,56.3
48,11779,Suffolk,New York,56.3
49,11726,Suffolk,New York,56.2
50,10308,Richmond,New York,56.1
51,14063,Chautauqua,New York,56.1
52,10918,Orange,New York,56.1
53,12550,Orange,New York,56.1
54,12549,Orange,New York,55.9
55,11747,Suffolk,New York,55.9
56,11764,Suffolk,New York,55.9
57,13820,Otsego,New York,55.8
58,10954,Rockland,New York,55.8
59,11967,Suffolk,New York,55.8
60,10065,New York,New York,55.8
61,11237,Kings,New York,55.7
62,10543,Westchester,New York,55.7
63,14226,Erie,New York,55.7
64,11221,Kings,New York,55.6
65,10538,Westchester,New York,55.6
66,13066,Onondaga,New York,55.6
67,11520,Nassau,New York,55.5
68,11778,Suffolk,New York,55.5
69,11225,Kings,New York,55.4
70,12534,Columbia,New York,55.3
71,11596,Nassau,New York,55.3
72,11742,Suffolk,New York,55.3
73,10952,Rockland,New York,55.2
74,11776,Suffolk,New York,55.2
75,14610,Monroe,New York,55.2
76,14217,Erie,New York,55.2
77,11354,Queens,New York,55.1
